Selection,40000,1508902982450,1508902985257,2807,612640,1582768,970128
Insertion,40000,1508902985257,1508902985489,232,612640,1582768,970128
Bubble,40000,1508902985490,1508902988922,3432,612640,1582768,970128
Merge,40000,1508902988923,1508902988937,14,612640,7255200,6642560
Quick,40000,1508902988938,1508902988954,16,612640,1582768,970128
Selection,40000,1508902988954,1508902991827,2873,612640,1582768,970128
Insertion,40000,1508902991827,1508902992099,272,612640,1582768,970128
Bubble,40000,1508902992100,1508902995626,3526,612640,1582768,970128
Merge,40000,1508902995626,1508902995643,17,612640,7255200,6642560
Quick,40000,1508902995646,1508902995658,12,612640,1582768,970128
Selection,40000,1508902995660,1508902998467,2807,612640,1582768,970128
Insertion,40000,1508902998467,1508902998727,260,612640,1582768,970128
Bubble,50000,1508902998728,1508903004158,5430,692640,1742768,1050128
Merge,50000,1508903004159,1508903004177,18,692640,8992096,8299456
Quick,50000,1508903004177,1508903004190,13,692640,1742768,1050128
Selection,50000,1508903004190,1508903008649,4459,692640,1742768,1050128
Insertion,50000,1508903008649,1508903009029,380,692640,1742768,1050128
Bubble,50000,1508903009029,1508903014516,5487,692640,1742768,1050128
Merge,50000,1508903014516,1508903014530,14,692640,8992096,8299456
Quick,50000,1508903014530,1508903014541,11,692640,1742768,1050128
Selection,50000,1508903014542,1508903018933,4391,692640,1742768,1050128
Insertion,50000,1508903018933,1508903019289,356,692640,1742768,1050128
Bubble,50000,1508903019290,1508903024664,5374,692640,1742768,1050128
Merge,50000,1508903024664,1508903024686,22,692640,8992096,8299456
Quick,50000,1508903024686,1508903024698,12,692640,1742768,1050128
Selection,50000,1508903024699,1508903029040,4341,692640,1742768,1050128
Insertion,50000,1508903029041,1508903029404,363,692640,1742768,1050128
Bubble,50000,1508903029404,1508903035095,5691,692640,1742768,1050128
Merge,50000,1508903035095,1508903035109,14,692640,8992096,8299456
Quick,50000,1508903035109,1508903035121,12,692640,1742768,1050128
Selection,50000,1508903035121,1508903039497,4376,692640,1742768,1050128
Insertion,50000,1508903039498,1508903039874,376,692720,1742848,1050128
Bubble,50000,1508903039875,1508903045451,5576,692720,1742848,1050128
Merge,50000,1508903045451,1508903045467,16,692720,8992176,8299456
Quick,50000,1508903045467,1508903045479,12,692720,1742848,1050128
Selection,50000,1508903045479,1508903050119,4640,692720,1742848,1050128
Insertion,50000,1508903050119,1508903050484,365,692720,1742848,1050128
Bubble,10000,1508907963361,1508907963677,316,413832,829392,415560
Merge,10000,1508907963693,1508907963709,16,408888,1911112,1502224
Quick,10000,1508907963724,1508907963740,16,408496,824056,415560
Selection,10000,1508907963740,1508907963940,200,408552,824112,415560
Insertion,10000,1508907963940,1508907963978,38,408616,824176,415560
Bubble,10000,1508907963994,1508907964294,300,408680,824240,415560
Merge,10000,1508907964294,1508907964310,16,408680,1912280,1503600
Quick,10000,1508907964310,1508907964325,15,408680,824240,415560
Selection,10000,1508907964325,1508907964510,185,408680,824240,415560
Insertion,10000,1508907964526,1508907964563,37,408680,824240,415560
Bubble,10000,1508907964563,1508907964795,232,408680,824240,415560
Merge,10000,1508907964795,1508907964795,0,408680,1912280,1503600
Quick,10000,1508907964811,1508907964811,0,408680,824240,415560
Selection,10000,1508907964827,1508907965011,184,408680,824240,415560
Insertion,10000,1508907965027,1508907965043,16,408680,824240,415560
Bubble,10000,1508907965064,1508907965318,254,408680,824240,415560
Merge,10000,1508907965325,1508907965335,10,408680,1912280,1503600
Quick,10000,1508907965345,1508907965351,6,408680,824240,415560
Selection,10000,1508907965362,1508907965557,195,408680,824240,415560
Insertion,10000,1508907965569,1508907965593,24,408680,824240,415560
Bubble,10000,1508907965603,1508907965909,306,408680,824240,415560
Merge,10000,1508907965921,1508907965929,8,408680,1912280,1503600
Quick,10000,1508907965939,1508907965948,9,408680,824240,415560
Selection,10000,1508907965962,1508907966206,244,408680,824240,415560
Insertion,10000,1508907966217,1508907966260,43,408680,824240,415560
Bubble,20000,1508907966276,1508907967279,1003,488888,984448,495560
Merge,20000,1508907967285,1508907967286,1,488888,3616136,3127248
Quick,20000,1508907967286,1508907967317,31,488888,984448,495560
Selection,20000,1508907967317,1508907968181,864,488888,984448,495560
Insertion,20000,1508907968187,1508907968265,78,488960,984520,495560
Bubble,20000,1508907968265,1508907969212,947,488960,984520,495560
Merge,20000,1508907969218,1508907969228,10,488960,3616208,3127248
Quick,20000,1508907969229,1508907969245,16,488960,984520,495560
Selection,20000,1508907969245,1508907970053,808,488960,984520,495560
Insertion,20000,1508907970062,1508907970136,74,488960,984520,495560
Bubble,20000,1508907970144,1508907971135,991,488960,984520,495560
Merge,20000,1508907971141,1508907971151,10,488960,3616208,3127248
Quick,20000,1508907971152,1508907971152,0,488960,984520,495560
Selection,20000,1508907971168,1508907972021,853,488960,984520,495560
Insertion,20000,1508907972021,1508907972105,84,488960,984520,495560
Bubble,20000,1508907972105,1508907973053,948,488960,984520,495560
Merge,20000,1508907973059,1508907973065,6,488960,3616208,3127248
Quick,20000,1508907973065,1508907973081,16,488960,984520,495560
Selection,20000,1508907973081,1508907973931,850,489040,984600,495560
Insertion,20000,1508907973937,1508907974010,73,489040,984600,495560
Bubble,20000,1508907974010,1508907974976,966,489040,984600,495560
Merge,20000,1508907974980,1508907974980,0,489040,3616288,3127248
Quick,20000,1508907974995,1508907974995,0,489040,984600,495560
Selection,20000,1508907975011,1508907975886,875,489040,984600,495560
Insertion,20000,1508907975891,1508907975969,78,489040,984600,495560
Bubble,30000,1508907975969,1508907978191,2222,569040,1144600,575560
Merge,30000,1508907978198,1508907978205,7,569040,5370560,4801520
Quick,30000,1508907978205,1508907978220,15,569040,1144600,575560
Selection,30000,1508907978220,1508907980054,1834,569040,1144600,575560
Insertion,30000,1508907980060,1508907980214,154,569040,1144600,575560
Bubble,30000,1508907980214,1508907982538,2324,569040,1144600,575560
Merge,30000,1508907982538,1508907982559,21,569040,5370560,4801520
Quick,30000,1508907982561,1508907982561,0,569040,1144600,575560
Selection,30000,1508907982576,1508907984373,1797,569040,1144600,575560
Insertion,30000,1508907984379,1508907984525,146,569040,1144600,575560
Bubble,30000,1508907984541,1508907986936,2395,569040,1144600,575560
Merge,30000,1508907986946,1508907986958,12,569040,5370560,4801520
